Territory (Abbr),Territory Name,Territory Type,Adjacent Territories,Country,Dot?,Home Supply Center?
Nwg,Norwegian Sea,Sea,Nap Cly Edi Nth Nwy Bar,Neutral,FALSE,FALSE
Nao,North Atlantic Ocean,Sea,Iri Lvp Cly Nwg,Neutral,FALSE,FALSE
Cly,Clyde,Coast,Nap Nwg Lvp Edi,Eng,FALSE,FALSE
Edi,Edinburgh,Coast,Cly Lvp Nth Nwg Yor,Eng,TRUE,Eng
Lvp,Liverpool,Coast,Nap Cly Edi Yor Wal Iri,Eng,TRUE,Eng
Yor,Yorkshire,Coast,Edi Lon Lvp Nth Wal,Eng,FALSE,FALSE
Wal,Wales,Coast,Eng Iri Lon Lvp Yor,Eng,FALSE,FALSE
Lon,London,Coast,Eng Nth Wal Yor,Eng,TRUE,Eng
Nth,North Sea,Sea,Nwg Edi Yor Lon Eng Bel Hol Hel Den Skg Nwy,Neutral,FALSE,FALSE
Bar,Barents Sea,Sea,Nwg Nwy Stp,Neutral,FALSE,FALSE
Nwy,Norway,Coast,Bar Fin Nth Nwg Skg Stp Swe,Neutral,FALSE,FALSE
Ska,Skagerrak,Sea,Den Nth Nwy Swe,Neutral,FALSE,FALSE
Iri,Irish Sea,Sea,Eng Mao Nap Lvp Wal,Neutral,FALSE,FALSE
Eng,English Channel,Sea,Bel Bre Iri Lon Mao Nth Pic Wal,Neutral,FALSE,FALSE
Fin,Finland,Coast,Bot Nwy Stp Swe,Neutral,FALSE,FALSE
Bot,Gulf of Bothnia,Sea,Bal Fin Lvn Stp Swe,Neutral,FALSE,FALSE
Swe,Sweden,Coast,Bal Bot Den Fin Nwy Skg,Neutral,TRUE,FALSE
Den,Denmark,Coast,Bal Hel Kie Nth Skg Swe,Neutral,TRUE,FALSE
Bal,Baltic Sea,Sea,Ber Bot Den Kie Lvn Pru Swe,Neutral,FALSE,FALSE
Hel,Helgoland,Sea,Den Nth Hol Kie,Neutral,FALSE,FALSE
Hol,Holland,Coast,Hel Nth Bel Ruh Kie,Neutral,TRUE,FALSE
