Territory Abbreviation,Territory Name,"Territory Type (Land, Sea, or Coast)",Dot (True => has dot),Map Coordinates,Adjacent Territories
Nwg,Norwegian Sea,Sea,FALSE,235 50,Nap Cly Edi Nth Nwy Bar
Nao,North Atlantic Ocean,Sea,FALSE,65 100,Iri Lvp Cly Nwg
Cly,Clyde,Coast,FALSE,160 120,Nap Nwg Lvp Edi
Edi,Edinburgh,Coast,TRUE,173 115,Cly Lvp Nth Nwg Yor
Lvp,Liverpool,Coast,TRUE,167 157,Nap Cly Edi Yor Wal Iri
Yor,Yorkshire,Coast,FALSE,180 155,Edi Lon Lvp Nth Wal
Wal,Wales,Coast,FALSE,155 180,Eng Iri Lon Lvp Yor
Lon,London,Coast,TRUE,176 177,Eng Nth Wal Yor
Nth,North Sea,Sea,FALSE,210 145,Nwg Edi Yor Lon Eng Bel Hol Hel Den Skg Nwy
Bar,Barents Sea,Sea,FALSE,410 25,Nwg Nwy Stp
Nwy,Norway,Coast,FALSE,270 100,Bar Fin Nth Nwg Skg Stp Swe
Ska,Skagerrak,Sea,FALSE,275 130,Den Nth Nwy Swe
Iri,Irish Sea,Sea,FALSE,100 183,Eng Mao Nap Lvp Wal
Eng,English Channel,Sea,FALSE,147 196,Bel Bre Iri Lon Mao Nth Pic Wal
Stp,St. Petersburg,Coast,TRUE,430 120,Bar Bot Fin Lvn Mos Nwy
Fin,Finland,Coast,FALSE,365 75,Bot Nwy Stp Swe
Bot,Gulf of Bothnia,Sea,FALSE,340 119,Bal Fin Lvn Stp Swe
Swe,Sweden,Coast,TRUE,305 135,Bal Bot Den Fin Nwy Skg
Den,Denmark,Coast,TRUE,264 163,Bal Hel Kie Nth Skg Swe
Bal,Baltic Sea,Sea,FALSE,322 158,Ber Bot Den Kie Lvn Pru Swe
Hel,Helgoland,Sea,FALSE,244 169,Den Nth Hol Kie
Hol,Holland,Coast,TRUE,228 186,Hel Nth Bel Ruh Kie
Bel,Belgium,Coast,TRUE,204 196,Nth Eng Pic Bur Ruh Hol
Ruh,Ruhr,Land,FALSE,230 215,Hol Bel Bur Mun Kie
Kie,Kiel,Coast,TRUE,259 184,Ruh Hol Hel Den Bal Ber Mun
